"Z.nm.","X.nm.","Y.nm.","Genomic.coordinate","Chromosome.copy.number"
2537,27216,6268,"chr2:12750001-12800001",1
2348,27012,6266,"chr2:13000001-13050001",1
2145,27199,6254,"chr2:13250001-13300001",1
2164,26562,6364,"chr2:13500001-13550001",1
2200,26990,6359,"chr2:13750001-13800001",1
2209,26696,6541,"chr2:14000001-14050001",1
2060,26975,6377,"chr2:14250001-14300001",1
2463,27215,6254,"chr2:14500001-14550001",1
2368,27040,6394,"chr2:14750001-14800001",1
2191,27152,6435,"chr2:15000001-15050001",1
2402,27103,6487,"chr2:15250001-15300001",1
2390,27005,6425,"chr2:15500001-15550001",1
1707,26684,6587,"chr2:15750001-15800001",1
2008,26797,6567,"chr2:16000001-16050001",1
1975,27040,6517,"chr2:16250001-16300001",1
2253,27373,6143,"chr2:16500001-16550001",1
2255,27536,6043,"chr2:16750001-16800001",1
2288,27542,5855,"chr2:17000001-17050001",1
2203,27212,6080,"chr2:17250001-17300001",1
2231,27700,5882,"chr2:17500001-17550001",1
2595,27934,5943,"chr2:17750001-17800001",1
2640,28045,6085,"chr2:18000001-18050001",1
2355,27466,5747,"chr2:18250001-18300001",1
2742,27994,5797,"chr2:18500001-18550001",1
2934,27686,5716,"chr2:18750001-18800001",1
2902,27665,5757,"chr2:19000001-19050001",1
2758,27606,5726,"chr2:19250001-19300001",1
2865,27265,5673,"chr2:19500001-19550001",1
2913,27599,5502,"chr2:19750001-19800001",1
2997,27633,5559,"chr2:20000001-20050001",1
3210,27537,5530,"chr2:20250001-20300001",1
3186,27936,5236,"chr2:20500001-20550001",1
3340,28081,4974,"chr2:20750001-20800001",1
3178,27875,5447,"chr2:21000001-21050001",1
3123,27945,4810,"chr2:21250001-21300001",1
3231,27741,5163,"chr2:21500001-21550001",1
2935,27671,5161,"chr2:21750001-21800001",1
3115,27840,4976,"chr2:22000001-22050001",1
2980,27842,4995,"chr2:22250001-22300001",1
3329,28282,4884,"chr2:22500001-22550001",1
3204,28138,5145,"chr2:22750001-22800001",1
3174,28181,5001,"chr2:23000001-23050001",1
3219,28388,5196,"chr2:23250001-23300001",1
3135,28293,5367,"chr2:23500001-23550001",1
3080,28143,5514,"chr2:23750001-23800001",1
3343,28180,5536,"chr2:24000001-24050001",1
3245,28295,5930,"chr2:24250001-24300001",1
3244,28208,5954,"chr2:24500001-24550001",1
3422,28247,5953,"chr2:24750001-24800001",1
2801,27875,6154,"chr2:25000001-25050001",1
3072,28677,5621,"chr2:25250001-25300001",1
2950,28239,6005,"chr2:25500001-25550001",1
2906,28565,5790,"chr2:25750001-25800001",1
2727,28680,5684,"chr2:26000001-26050001",1
2531,28702,5770,"chr2:26250001-26300001",1
2400,28944,5724,"chr2:26500001-26550001",1
2780,28957,5696,"chr2:26750001-26800001",1
2785,28820,5866,"chr2:27000001-27050001",1
2863,28785,5970,"chr2:27250001-27300001",1
2836,28492,5855,"chr2:27500001-27550001",1
2745,27931,6170,"chr2:27750001-27800001",1
2690,28335,6297,"chr2:28000001-28050001",1
2566,27908,6113,"chr2:28250001-28300001",1
2686,28177,6167,"chr2:28500001-28550001",1
2669,28008,6047,"chr2:28750001-28800001",1
2498,28114,6118,"chr2:29000001-29050001",1
2280,27710,6006,"chr2:29250001-29300001",1
2508,28067,6052,"chr2:29500001-29550001",1
2237,27910,5948,"chr2:29750001-29800001",1
2001,27756,5897,"chr2:30000001-30050001",1
2091,27298,6772,"chr2:30250001-30300001",1
2391,27423,6851,"chr2:30500001-30550001",1
1952,26853,6782,"chr2:30750001-30800001",1
1782,26893,6727,"chr2:31000001-31050001",1
2157,26963,6673,"chr2:31250001-31300001",1
1681,26959,6826,"chr2:31500001-31550001",1
2437,27327,6632,"chr2:31750001-31800001",1
2587,27390,6492,"chr2:32000001-32050001",1
2282,27292,6701,"chr2:32250001-32300001",1
2719,27419,6630,"chr2:32500001-32550001",1
2195,27592,6250,"chr2:32750001-32800001",1
2442,27855,6266,"chr2:33000001-33050001",1
2687,27573,6251,"chr2:33250001-33300001",1
2423,27440,6113,"chr2:33500001-33550001",1
2210,27635,6067,"chr2:33750001-33800001",1
2053,27175,6337,"chr2:34000001-34050001",1
2124,27261,6409,"chr2:34250001-34300001",1
2159,27329,6344,"chr2:34500001-34550001",1
2034,27479,6481,"chr2:34750001-34800001",1
2185,26980,7325,"chr2:35000001-35050001",1
1813,27084,6351,"chr2:35250001-35300001",1
2266,27028,6276,"chr2:35500001-35550001",1
2220,27125,6152,"chr2:35750001-35800001",1
2308,27385,6034,"chr2:36000001-36050001",1
2893,27635,5428,"chr2:36250001-36300001",1
2770,27759,5920,"chr2:36500001-36550001",1
2733,27575,5883,"chr2:36750001-36800001",1
2966,27551,6425,"chr2:37000001-37050001",1
2924,27650,6321,"chr2:37250001-37300001",1
2900,27859,6514,"chr2:37500001-37550001",1
2936,27988,6222,"chr2:37750001-37800001",1
2987,27947,6563,"chr2:38250001-38300001",1
3007,27752,6481,"chr2:38500001-38550001",1
3076,28323,6116,"chr2:38750001-38800001",1
3265,27766,6515,"chr2:39000001-39050001",1
3160,27952,6412,"chr2:39250001-39300001",1
3210,27947,6702,"chr2:39500001-39550001",1
3250,27948,6366,"chr2:39750001-39800001",1
3362,27482,6438,"chr2:40000001-40050001",1
3448,27642,6554,"chr2:40250001-40300001",1
2702,28159,6077,"chr2:40500001-40550001",1
3307,27723,6729,"chr2:40750001-40800001",1
3259,27707,6746,"chr2:41000001-41050001",1
3355,27336,7093,"chr2:41250001-41300001",1
3396,27228,7098,"chr2:41500001-41550001",1
3022,27257,6751,"chr2:41750001-41800001",1
2549,27431,6050,"chr2:42000001-42050001",1
3090,27420,6614,"chr2:42250001-42300001",1
2999,26775,6726,"chr2:42500001-42550001",1
3310,26437,7252,"chr2:42750001-42800001",1
3438,26296,7068,"chr2:43000001-43050001",1
3361,26453,7055,"chr2:43250001-43300001",1
3297,25999,7327,"chr2:43500001-43550001",1
3228,26087,7392,"chr2:43750001-43800001",1
2897,26234,7091,"chr2:44000001-44050001",1
2956,26427,7074,"chr2:44250001-44300001",1
2925,26432,7191,"chr2:44500001-44550001",1
2879,26600,7185,"chr2:44750001-44800001",1
2658,26280,6964,"chr2:45000001-45050001",1
2789,26919,7012,"chr2:45250001-45300001",1
2566,26815,7154,"chr2:45500001-45550001",1
2706,26561,6996,"chr2:45750001-45800001",1
2537,26364,7183,"chr2:46000001-46050001",1
2400,26341,7198,"chr2:46250001-46300001",1
2358,26443,7169,"chr2:46500001-46550001",1
2303,26591,7219,"chr2:46750001-46800001",1
2302,26545,7106,"chr2:47000001-47050001",1
2366,27052,7032,"chr2:47250001-47300001",1
2453,27087,6765,"chr2:47500001-47550001",1
2133,27013,6886,"chr2:47750001-47800001",1
1923,26815,7048,"chr2:48000001-48050001",1
1844,26821,6968,"chr2:48250001-48300001",1
1989,26923,6977,"chr2:48500001-48550001",1
1852,26452,7178,"chr2:48750001-48800001",1
2010,26571,7354,"chr2:49000001-49050001",1
1970,26914,6884,"chr2:49250001-49300001",1
1814,26855,6929,"chr2:49500001-49550001",1
1845,27178,7006,"chr2:49750001-49800001",1
1611,27051,7160,"chr2:50000001-50050001",1
2809,26576,7549,"chr2:50250001-50300001",1
1938,26737,6648,"chr2:50500001-50550001",1
2026,26569,6884,"chr2:50750001-50800001",1
1989,26627,6847,"chr2:51000001-51050001",1
2218,26341,7134,"chr2:51250001-51300001",1
2429,26688,6881,"chr2:51500001-51550001",1
2299,26600,6851,"chr2:51750001-51800001",1
2483,26926,6558,"chr2:52000001-52050001",1
2180,27987,6176,"chr2:52250001-52300001",1
2260,26803,6594,"chr2:52500001-52550001",1
2759,27009,6565,"chr2:52750001-52800001",1
1995,27169,6506,"chr2:53000001-53050001",1
2735,26767,6663,"chr2:53250001-53300001",1
2969,26422,7120,"chr2:53500001-53550001",1
2840,27126,6592,"chr2:53750001-53800001",1
2980,27363,6414,"chr2:54000001-54050001",1
3028,27210,6563,"chr2:54250001-54300001",1
2969,27019,6573,"chr2:54500001-54550001",1
3060,27003,6655,"chr2:54750001-54800001",1
3229,27242,6553,"chr2:55000001-55050001",1
3188,26857,6738,"chr2:55250001-55300001",1
3325,26907,6629,"chr2:55500001-55550001",1
3687,27103,6582,"chr2:55750001-55800001",1
3512,27224,6728,"chr2:56000001-56050001",1
3578,27666,7093,"chr2:56250001-56300001",1
3599,27530,7203,"chr2:56500001-56550001",1
3719,27908,6763,"chr2:56750001-56800001",1
3581,27431,6998,"chr2:57000001-57050001",1
3540,27938,7083,"chr2:57250001-57300001",1
3567,27580,7111,"chr2:57500001-57550001",1
4408,27418,7605,"chr2:57750001-57800001",1
4171,27554,7238,"chr2:58000001-58050001",1
4174,27269,7501,"chr2:58250001-58300001",1
4404,27877,7042,"chr2:58500001-58550001",1
4097,27323,7246,"chr2:58750001-58800001",1
4045,27504,7341,"chr2:59000001-59050001",1
4177,27338,8112,"chr2:59250001-59300001",1
3962,27760,7751,"chr2:59500001-59550001",1
4097,27746,7651,"chr2:59750001-59800001",1
3990,27645,7741,"chr2:60000001-60050001",1
3850,27751,7746,"chr2:60250001-60300001",1
3371,28516,7269,"chr2:60750001-60800001",1
3543,28213,7025,"chr2:61000001-61050001",1
3491,28348,7061,"chr2:61250001-61300001",1
3291,28359,6956,"chr2:61500001-61550001",1
3279,28469,6852,"chr2:61750001-61800001",1
3118,28353,6763,"chr2:62000001-62050001",1
3119,28542,6802,"chr2:62250001-62300001",1
3165,28534,6248,"chr2:62500001-62550001",1
3030,28304,6659,"chr2:62750001-62800001",1
2970,28206,6657,"chr2:63000001-63050001",1
2928,27747,7002,"chr2:63250001-63300001",1
2869,27935,6672,"chr2:63500001-63550001",1
2587,27102,7028,"chr2:63750001-63800001",1
2297,26913,7307,"chr2:64000001-64050001",1
2199,26948,7537,"chr2:64250001-64300001",1
2175,26433,7491,"chr2:64500001-64550001",1
2103,26571,7752,"chr2:64750001-64800001",1
2052,26574,7514,"chr2:65000001-65050001",1
1814,26533,7417,"chr2:65250001-65300001",1
1824,26575,7443,"chr2:65500001-65550001",1
1740,26913,7422,"chr2:65750001-65800001",1
1859,26939,7382,"chr2:66000001-66050001",1
1400,27249,7404,"chr2:66250001-66300001",1
1996,27100,7261,"chr2:66500001-66550001",1
1972,27105,7262,"chr2:66750001-66800001",1
1861,27014,7385,"chr2:67000001-67050001",1
1939,27105,7026,"chr2:67250001-67300001",1
2192,27311,6933,"chr2:67500001-67550001",1
2172,27232,7105,"chr2:67750001-67800001",1
2014,27252,6975,"chr2:68000001-68050001",1
2432,27591,6711,"chr2:68250001-68300001",1
2584,27901,6848,"chr2:68500001-68550001",1
2749,28175,6269,"chr2:68750001-68800001",1
2916,28400,6269,"chr2:69000001-69050001",1
3000,28471,6255,"chr2:69250001-69300001",1
3063,28643,6202,"chr2:69500001-69550001",1
3098,28592,6052,"chr2:69750001-69800001",1
3245,28690,5503,"chr2:70000001-70050001",1
3153,28518,5721,"chr2:70250001-70300001",1
3371,28826,5675,"chr2:70500001-70550001",1
2689,28495,5583,"chr2:70750001-70800001",1
3408,28814,5486,"chr2:71000001-71050001",1
3504,28906,5334,"chr2:71250001-71300001",1
3399,28657,5332,"chr2:71500001-71550001",1
3135,28617,5347,"chr2:71750001-71800001",1
3044,28312,5157,"chr2:72000001-72050001",1
3637,27785,5811,"chr2:72250001-72300001",1
2561,27935,5834,"chr2:72500001-72550001",1
3366,28493,5394,"chr2:72750001-72800001",1
3404,28442,5550,"chr2:73000001-73050001",1
3322,28407,5685,"chr2:73250001-73300001",1
3615,28377,6099,"chr2:73500001-73550001",1
4227,28617,5300,"chr2:73750001-73800001",1
3853,27869,5753,"chr2:74000001-74050001",1
3874,28085,5561,"chr2:74250001-74300001",1
3621,27770,6030,"chr2:74500001-74550001",1
3604,27523,6155,"chr2:74750001-74800001",1
3720,27731,6277,"chr2:75000001-75050001",1
3602,27709,6396,"chr2:75250001-75300001",1
3694,27388,6495,"chr2:75500001-75550001",1
4277,27237,6831,"chr2:75750001-75800001",1
4221,27404,6736,"chr2:76000001-76050001",1
2776,28191,6245,"chr2:76250001-76300001",1
4232,26861,6854,"chr2:76500001-76550001",1
4092,27278,7017,"chr2:76750001-76800001",1
4201,27482,6959,"chr2:77000001-77050001",1
4160,27354,6728,"chr2:77250001-77300001",1
4130,27188,6822,"chr2:77500001-77550001",1
4203,27479,6687,"chr2:77750001-77800001",1
4229,27262,6984,"chr2:78000001-78050001",1
4416,26929,7320,"chr2:78250001-78300001",1
4270,27234,7239,"chr2:78500001-78550001",1
3952,26995,7316,"chr2:78750001-78800001",1
3746,27068,6572,"chr2:79000001-79050001",1
4371,27023,7183,"chr2:79250001-79300001",1
4204,26869,7057,"chr2:79500001-79550001",1
4236,27991,7748,"chr2:79750001-79800001",1
2976,27965,6691,"chr2:80000001-80050001",1
2760,27914,6508,"chr2:80250001-80300001",1
2625,28377,6434,"chr2:80500001-80550001",1
2764,28283,6527,"chr2:80750001-80800001",1
2566,28295,6614,"chr2:81000001-81050001",1
2229,28089,6471,"chr2:81250001-81300001",1
2189,28336,5829,"chr2:81500001-81550001",1
2565,28095,6631,"chr2:81750001-81800001",1
1999,28158,7107,"chr2:82000001-82050001",1
2189,28319,6871,"chr2:82250001-82300001",1
1852,28049,6890,"chr2:82500001-82550001",1
2096,28350,6217,"chr2:82750001-82800001",1
2247,28237,6522,"chr2:83000001-83050001",1
2020,28374,6237,"chr2:83250001-83300001",1
2251,28352,6462,"chr2:83500001-83550001",1
2132,28330,6416,"chr2:83750001-83800001",1
2338,28369,6476,"chr2:84000001-84050001",1
2454,28145,6693,"chr2:84250001-84300001",1
2506,28155,7000,"chr2:84500001-84550001",1
2475,28358,6915,"chr2:84750001-84800001",1
2674,28073,7043,"chr2:85000001-85050001",1
2488,28532,6946,"chr2:85250001-85300001",1
2861,28344,7229,"chr2:85500001-85550001",1
2791,28158,7123,"chr2:85750001-85800001",1
2890,28513,7019,"chr2:86000001-86050001",1
3128,28795,6988,"chr2:86250001-86300001",1
3001,28758,7079,"chr2:86500001-86550001",1
3278,28631,6987,"chr2:86750001-86800001",1
3450,28422,6712,"chr2:87250001-87300001",1
3363,28681,6634,"chr2:87500001-87550001",1
3199,28195,6685,"chr2:88000001-88050001",1
3617,27875,6964,"chr2:88250001-88300001",1
3281,27894,6785,"chr2:88500001-88550001",1
2797,28139,6277,"chr2:88750001-88800001",1
3265,27513,7546,"chr2:89000001-89050001",1
3425,28065,7496,"chr2:89750001-89800001",1
3599,27969,7923,"chr2:90000001-90050001",1
2759,28018,7319,"chr2:91750001-91800001",1
2649,28038,6630,"chr2:94750001-94800001",1
2674,28299,6848,"chr2:95000001-95050001",1
2874,28228,6857,"chr2:95250001-95300001",1
2649,27649,7009,"chr2:95500001-95550001",1
2595,27524,7038,"chr2:95750001-95800001",1
2566,27736,6685,"chr2:96000001-96050001",1
2072,27475,7321,"chr2:96250001-96300001",1
2552,27488,7254,"chr2:96500001-96550001",1
2345,27495,7158,"chr2:96750001-96800001",1
2318,27687,6686,"chr2:97000001-97050001",1
1977,27279,6816,"chr2:97750001-97800001",1
1980,27312,6735,"chr2:98000001-98050001",1
2081,27410,6715,"chr2:98250001-98300001",1
2065,27681,6624,"chr2:98500001-98550001",1
2091,27519,6531,"chr2:98750001-98800001",1
2004,27628,6575,"chr2:99000001-99050001",1
2297,27978,6373,"chr2:99250001-99300001",1
2291,27898,6262,"chr2:99500001-99550001",1
2629,28242,6180,"chr2:99750001-99800001",1
2516,28056,6350,"chr2:100000001-100050001",1
2373,28288,6176,"chr2:100250001-100300001",1
2105,27977,6076,"chr2:100500001-100550001",1
2158,28494,6220,"chr2:100750001-100800001",1
2584,28492,5822,"chr2:101000001-101050001",1
2470,28481,6212,"chr2:101250001-101300001",1
2139,28524,6341,"chr2:101500001-101550001",1
2616,28662,6028,"chr2:101750001-101800001",1
2281,28744,6336,"chr2:102000001-102050001",1
2209,28611,6271,"chr2:102250001-102300001",1
2048,28304,6276,"chr2:102500001-102550001",1
2387,28166,6723,"chr2:102750001-102800001",1
2895,28171,7937,"chr2:103000001-103050001",1
2083,27867,7050,"chr2:103250001-103300001",1
1561,27953,6904,"chr2:103500001-103550001",1
1965,27668,7235,"chr2:103750001-103800001",1
1467,27732,6963,"chr2:104000001-104050001",1
1999,27796,7314,"chr2:104250001-104300001",1
2007,27749,7106,"chr2:104500001-104550001",1
2337,27874,7208,"chr2:104750001-104800001",1
2065,27672,7085,"chr2:105000001-105050001",1
2279,27981,7332,"chr2:105250001-105300001",1
2300,27956,7324,"chr2:105500001-105550001",1
2255,27467,7136,"chr2:105750001-105800001",1
1842,27551,7324,"chr2:106000001-106050001",1
1997,27511,7239,"chr2:106250001-106300001",1
1834,27475,7335,"chr2:106500001-106550001",1
2458,28162,7156,"chr2:106750001-106800001",1
2166,28363,6695,"chr2:107000001-107050001",1
2858,28234,6680,"chr2:107250001-107300001",1
2183,27869,7114,"chr2:107500001-107550001",1
2363,28392,6638,"chr2:107750001-107800001",1
2331,28294,7011,"chr2:108000001-108050001",1
2153,28727,6575,"chr2:108250001-108300001",1
2135,28788,6528,"chr2:108500001-108550001",1
2532,28778,6709,"chr2:108750001-108800001",1
2566,28974,6678,"chr2:109000001-109050001",1
2932,28969,6723,"chr2:109250001-109300001",1
2740,28991,6555,"chr2:109500001-109550001",1
3050,28948,6656,"chr2:110750001-110800001",1
3061,28878,6779,"chr2:111000001-111050001",1
3255,28536,6569,"chr2:111250001-111300001",1
3159,28933,6478,"chr2:111500001-111550001",1
3101,28848,6353,"chr2:111750001-111800001",1
3033,28970,6318,"chr2:112000001-112050001",1
3209,28918,6088,"chr2:112250001-112300001",1
3163,29073,6119,"chr2:112500001-112550001",1
3058,29276,6234,"chr2:112750001-112800001",1
2726,29185,6354,"chr2:113000001-113050001",1
2874,28579,6502,"chr2:113250001-113300001",1
2567,28276,6864,"chr2:113500001-113550001",1
2711,28730,6928,"chr2:113750001-113800001",1
2588,28499,6761,"chr2:114000001-114050001",1
2446,28135,6810,"chr2:114250001-114300001",1
1994,28149,7039,"chr2:114500001-114550001",1
2228,28325,6663,"chr2:114750001-114800001",1
1802,28374,6784,"chr2:115000001-115050001",1
1794,28371,6915,"chr2:115250001-115300001",1
1836,27423,7130,"chr2:115500001-115550001",1
1609,27521,7213,"chr2:115750001-115800001",1
2041,27817,6961,"chr2:116000001-116050001",1
1655,27654,6904,"chr2:116250001-116300001",1
2269,27933,6622,"chr2:116500001-116550001",1
2604,27864,6807,"chr2:116750001-116800001",1
2012,27356,7065,"chr2:117000001-117050001",1
1498,27830,7065,"chr2:117250001-117300001",1
2011,27621,7267,"chr2:117500001-117550001",1
1747,27246,7292,"chr2:117750001-117800001",1
1619,27318,7686,"chr2:118000001-118050001",1
1789,27098,8021,"chr2:118250001-118300001",1
1614,27311,7725,"chr2:118500001-118550001",1
1903,27200,7689,"chr2:118750001-118800001",1
2367,28087,6162,"chr2:119000001-119050001",1
1458,27097,7930,"chr2:119250001-119300001",1
1601,27093,7755,"chr2:119500001-119550001",1
1930,27117,7763,"chr2:119750001-119800001",1
1996,27541,7924,"chr2:120000001-120050001",1
2302,27719,7640,"chr2:120250001-120300001",1
2135,27603,7426,"chr2:120500001-120550001",1
2420,27959,7406,"chr2:120750001-120800001",1
2152,27657,7491,"chr2:121000001-121050001",1
2061,27250,7402,"chr2:121250001-121300001",1
1961,27156,7539,"chr2:121500001-121550001",1
2037,27544,7532,"chr2:121750001-121800001",1
1950,27496,7798,"chr2:122000001-122050001",1
1786,27844,7725,"chr2:122250001-122300001",1
1745,27479,7165,"chr2:122500001-122550001",1
1754,27635,7378,"chr2:122750001-122800001",1
1818,27574,7864,"chr2:123000001-123050001",1
1625,27697,7694,"chr2:123250001-123300001",1
1596,27662,7379,"chr2:123500001-123550001",1
1814,27747,7469,"chr2:123750001-123800001",1
1842,27794,7398,"chr2:124000001-124050001",1
1663,28006,7235,"chr2:124250001-124300001",1
1590,28510,7458,"chr2:124500001-124550001",1
1806,27943,8193,"chr2:124750001-124800001",1
2410,28190,7020,"chr2:125000001-125050001",1
1809,27848,7792,"chr2:125250001-125300001",1
1758,27672,7569,"chr2:125500001-125550001",1
1751,27607,7495,"chr2:125750001-125800001",1
2340,27933,7231,"chr2:126000001-126050001",1
1800,27801,7523,"chr2:126250001-126300001",1
1814,27797,7867,"chr2:126500001-126550001",1
1830,28046,8052,"chr2:126750001-126800001",1
2138,28186,7517,"chr2:127000001-127050001",1
2158,28297,7575,"chr2:127250001-127300001",1
2175,28340,7845,"chr2:127500001-127550001",1
2189,28155,7858,"chr2:127750001-127800001",1
2190,28340,7442,"chr2:128000001-128050001",1
2107,27817,7657,"chr2:128250001-128300001",1
1841,28523,7460,"chr2:128500001-128550001",1
2054,27687,7106,"chr2:128750001-128800001",1
1826,28491,7416,"chr2:129000001-129050001",1
1764,27832,7258,"chr2:129250001-129300001",1
2376,28181,6928,"chr2:129500001-129550001",1
2066,27755,7158,"chr2:129750001-129800001",1
2035,28291,6665,"chr2:130000001-130050001",1
2133,28126,6001,"chr2:130250001-130300001",1
2443,28491,5817,"chr2:130750001-130800001",1
2490,29047,5815,"chr2:131000001-131050001",1
2550,29247,5956,"chr2:131500001-131550001",1
2492,29198,5963,"chr2:131750001-131800001",1
2623,28739,6057,"chr2:132000001-132050001",1
2299,29037,6038,"chr2:132500001-132550001",1
2220,28905,6208,"chr2:132750001-132800001",1
2233,29045,6378,"chr2:133000001-133050001",1
2561,28839,6071,"chr2:133250001-133300001",1
2240,29112,6213,"chr2:133500001-133550001",1
2504,29021,6053,"chr2:133750001-133800001",1
2517,28826,6467,"chr2:134000001-134050001",1
2500,28782,6410,"chr2:134250001-134300001",1
2261,28473,6693,"chr2:134500001-134550001",1
2605,28556,6529,"chr2:134750001-134800001",1
2403,28080,6526,"chr2:135000001-135050001",1
2564,28268,6459,"chr2:135250001-135300001",1
2360,28015,6512,"chr2:135500001-135550001",1
2419,27932,6578,"chr2:135750001-135800001",1
2187,28201,6137,"chr2:136000001-136050001",1
2210,28284,6170,"chr2:136250001-136300001",1
2040,27873,6898,"chr2:136500001-136550001",1
1963,27991,6914,"chr2:136750001-136800001",1
2220,28018,6797,"chr2:137000001-137050001",1
1990,27963,6374,"chr2:137250001-137300001",1
1908,27844,6357,"chr2:137500001-137550001",1
2131,28149,6480,"chr2:137750001-137800001",1
2001,27851,6593,"chr2:138000001-138050001",1
1959,27553,6773,"chr2:138250001-138300001",1
1698,27589,6911,"chr2:138500001-138550001",1
1572,27762,7089,"chr2:138750001-138800001",1
1950,27973,6825,"chr2:139000001-139050001",1
2371,28043,6930,"chr2:139250001-139300001",1
2205,27986,6637,"chr2:139500001-139550001",1
1634,27761,6895,"chr2:139750001-139800001",1
1570,27673,6937,"chr2:140000001-140050001",1
1897,28028,7005,"chr2:140250001-140300001",1
1795,27979,7010,"chr2:140500001-140550001",1
1873,27869,7126,"chr2:140750001-140800001",1
1945,27805,7409,"chr2:141000001-141050001",1
2383,28167,7038,"chr2:141250001-141300001",1
1915,27479,7151,"chr2:141500001-141550001",1
1807,27836,7316,"chr2:141750001-141800001",1
1799,28051,7275,"chr2:142000001-142050001",1
2202,27942,7356,"chr2:142250001-142300001",1
1993,27692,7610,"chr2:142500001-142550001",1
1778,27450,8008,"chr2:142750001-142800001",1
1416,27124,7968,"chr2:143000001-143050001",1
1624,27793,8421,"chr2:143250001-143300001",1
1820,27367,8012,"chr2:143500001-143550001",1
1756,27659,7924,"chr2:143750001-143800001",1
2201,27438,6674,"chr2:144000001-144050001",1
1496,27647,7245,"chr2:144250001-144300001",1
1942,27256,8050,"chr2:144500001-144550001",1
1425,27581,8652,"chr2:144750001-144800001",1
1470,27847,8380,"chr2:145000001-145050001",1
1820,27366,8257,"chr2:145250001-145300001",1
1930,27390,8552,"chr2:145500001-145550001",1
1688,27263,8328,"chr2:145750001-145800001",1
1791,27411,8356,"chr2:146000001-146050001",1
1940,27362,8487,"chr2:146250001-146300001",1
1628,28311,9287,"chr2:146500001-146550001",1
1780,26626,8755,"chr2:146750001-146800001",1
1769,26691,8749,"chr2:147000001-147050001",1
1556,27017,8573,"chr2:147250001-147300001",1
1588,27148,8591,"chr2:147500001-147550001",1
1534,26571,8727,"chr2:147750001-147800001",1
1768,26466,9112,"chr2:148000001-148050001",1
1764,26589,8900,"chr2:148250001-148300001",1
1588,26797,8841,"chr2:148500001-148550001",1
1720,26518,8778,"chr2:148750001-148800001",1
1588,26512,8981,"chr2:149000001-149050001",1
1597,26483,8776,"chr2:149250001-149300001",1
1405,26479,8836,"chr2:149500001-149550001",1
1754,26261,9013,"chr2:149750001-149800001",1
2009,26811,8964,"chr2:150000001-150050001",1
1409,27784,7530,"chr2:150250001-150300001",1
1481,26465,8434,"chr2:150500001-150550001",1
1828,26901,8320,"chr2:150750001-150800001",1
1783,26814,8706,"chr2:151000001-151050001",1
1608,26867,8227,"chr2:151250001-151300001",1
1685,26951,7926,"chr2:151500001-151550001",1
1965,27114,7870,"chr2:151750001-151800001",1
1824,27007,8077,"chr2:152000001-152050001",1
2124,26551,8087,"chr2:152250001-152300001",1
1793,26923,8396,"chr2:152500001-152550001",1
1754,26827,8147,"chr2:152750001-152800001",1
