"chr","loc1","loc2","lg_balance","IQRs"
"chr14",19700000,25700000,-2.298,2.299
"chr14",19700000,25800000,-2.355,2.131
"chr14",19700000,26900000,-2.513,2.141
"chr14",19700000,2.7e+07,-2.475,2.236
"chr14",19700000,27100000,-2.45,2.3
"chr14",19700000,27200000,-2.434,2.309
"chr14",19700000,27300000,-2.4,2.43
"chr14",19700000,27400000,-2.394,2.465
"chr14",19700000,27500000,-2.39,2.462
"chr14",19700000,27600000,-2.392,2.473
"chr14",19700000,27700000,-2.399,2.454
"chr14",19700000,27800000,-2.388,2.499
"chr14",19700000,27900000,-2.37,2.58
"chr14",19700000,2.8e+07,-2.362,2.598
"chr14",19700000,28100000,-2.372,2.553
"chr14",19700000,28200000,-2.388,2.432
"chr14",19700000,28300000,-2.409,2.319
"chr14",19700000,28400000,-2.461,2.111
"chr14",19700000,39600000,-2.85,2.043
"chr14",19700000,39700000,-2.763,2.376
"chr14",19700000,39800000,-2.688,2.664
"chr14",19700000,39900000,-2.712,2.576
"chr14",19700000,4e+07,-2.705,2.614
"chr14",19700000,40100000,-2.726,2.573
"chr14",19700000,40200000,-2.733,2.605
"chr14",19700000,40300000,-2.723,2.618
"chr14",19700000,40400000,-2.737,2.495
"chr14",19700000,40500000,-2.745,2.383
"chr14",19700000,40600000,-2.72,2.451
"chr14",19700000,40700000,-2.744,2.372
"chr14",19700000,40800000,-2.731,2.463
"chr14",19700000,40900000,-2.746,2.408
"chr14",19700000,4.1e+07,-2.765,2.36
"chr14",19700000,41100000,-2.771,2.395
"chr14",19700000,41200000,-2.831,2.131
"chr14",19700000,43600000,-2.942,2.169
"chr14",19700000,43700000,-2.917,2.277
"chr14",19700000,43800000,-2.888,2.403
"chr14",19700000,43900000,-2.875,2.45
"chr14",19700000,4.4e+07,-2.88,2.452
"chr14",19700000,44100000,-2.898,2.368
"chr14",19700000,44200000,-2.87,2.453
"chr14",19700000,44300000,-2.88,2.305
"chr14",19700000,44400000,-2.918,2.043
"chr14",19700000,45400000,-2.951,2.296
"chr14",19700000,45500000,-2.874,2.687
"chr14",19700000,45600000,-2.823,3.073
"chr14",19700000,45700000,-2.843,3.008
"chr14",19700000,45800000,-2.832,3.097
"chr14",19700000,45900000,-2.816,3.142
"chr14",19700000,4.6e+07,-2.828,3.041
"chr14",19700000,46100000,-2.826,3.009
"chr14",19700000,46200000,-2.828,2.962
"chr14",19700000,46300000,-2.878,2.645
"chr14",19700000,46400000,-2.865,2.665
"chr14",19700000,46500000,-2.876,2.613
"chr14",19700000,46600000,-2.893,2.455
"chr14",19700000,46700000,-2.902,2.332
"chr14",19700000,46800000,-2.907,2.269
"chr14",19700000,46900000,-2.917,2.244
"chr14",19700000,4.7e+07,-2.882,2.397
"chr14",19700000,47100000,-2.865,2.488
"chr14",19700000,47200000,-2.878,2.423
"chr14",19700000,47300000,-2.9,2.299
"chr14",19700000,47400000,-2.9,2.259
"chr14",19700000,47500000,-2.909,2.281
"chr14",19700000,47600000,-2.923,2.222
"chr14",19700000,47700000,-2.938,2.173
"chr14",19700000,47800000,-2.958,2.069
"chr14",19700000,47900000,-2.951,2.115
"chr14",19700000,4.8e+07,-2.923,2.252
"chr14",19700000,48100000,-2.947,2.195
"chr14",19700000,48200000,-2.97,2.221
"chr14",19700000,48300000,-2.968,2.307
"chr14",19700000,48400000,-2.981,2.311
"chr14",19700000,48500000,-2.996,2.303
"chr14",19700000,48600000,-3.009,2.284
"chr14",19700000,48700000,-3.067,2.017
"chr14",19700000,57600000,-3.225,2.07
"chr14",19700000,65900000,-3.353,2.192
"chr14",19700000,6.6e+07,-3.315,2.497
"chr14",19700000,66100000,-3.29,2.598
"chr14",19700000,66200000,-3.305,2.381
"chr14",19700000,66300000,-3.274,2.594
"chr14",19700000,66400000,-3.316,2.162
"chr14",19700000,78200000,-3.417,2.133
"chr14",19700000,78300000,-3.383,2.471
"chr14",19700000,78400000,-3.413,2.223
"chr14",19700000,81800000,-3.391,2.308
"chr14",19700000,81900000,-3.419,2.26
"chr14",19700000,8.2e+07,-3.387,2.819
"chr14",19700000,82100000,-3.386,3.103
"chr14",19700000,82200000,-3.367,3.325
"chr14",19700000,82300000,-3.383,3.312
"chr14",19700000,82400000,-3.412,2.939
"chr14",19700000,82500000,-3.446,2.521
"chr14",19700000,82600000,-3.424,2.57
"chr14",19700000,82700000,-3.482,2.079
"chr14",19700000,87500000,-3.459,2.412
"chr14",19700000,87600000,-3.499,2.035
"chr14",19700000,87700000,-3.473,2.319
"chr14",19700000,87800000,-3.467,2.562
"chr14",19700000,87900000,-3.482,2.314
"chr14",19800000,25400000,-2.316,2.167
"chr14",19800000,25500000,-2.278,2.294
"chr14",19800000,25600000,-2.294,2.297
"chr14",19800000,25700000,-2.322,2.227
"chr14",19800000,25800000,-2.375,2.076
"chr14",19800000,26900000,-2.522,2.111
"chr14",19800000,2.7e+07,-2.484,2.235
"chr14",19800000,27100000,-2.468,2.26
"chr14",19800000,27200000,-2.451,2.297
"chr14",19800000,27300000,-2.43,2.322
"chr14",19800000,27400000,-2.426,2.35
"chr14",19800000,27500000,-2.415,2.401
"chr14",19800000,27600000,-2.415,2.384
"chr14",19800000,27700000,-2.424,2.377
"chr14",19800000,27800000,-2.414,2.408
"chr14",19800000,27900000,-2.398,2.469
"chr14",19800000,2.8e+07,-2.377,2.557
"chr14",19800000,28100000,-2.394,2.5
"chr14",19800000,28200000,-2.42,2.405
"chr14",19800000,28300000,-2.445,2.261
"chr14",19800000,28400000,-2.493,2.071
"chr14",19800000,39600000,-2.855,2.007
"chr14",19800000,39700000,-2.754,2.418
"chr14",19800000,39800000,-2.687,2.673
"chr14",19800000,39900000,-2.71,2.579
"chr14",19800000,4e+07,-2.709,2.589
"chr14",19800000,40100000,-2.724,2.538
"chr14",19800000,40200000,-2.746,2.494
"chr14",19800000,40300000,-2.732,2.607
"chr14",19800000,40400000,-2.749,2.517
"chr14",19800000,40500000,-2.764,2.39
"chr14",19800000,40600000,-2.737,2.415
"chr14",19800000,40700000,-2.768,2.27
"chr14",19800000,40800000,-2.766,2.29
"chr14",19800000,40900000,-2.795,2.218
"chr14",19800000,4.1e+07,-2.806,2.177
"chr14",19800000,41100000,-2.81,2.187
"chr14",19800000,41200000,-2.863,2.038
"chr14",19800000,43600000,-2.95,2.061
"chr14",19800000,43700000,-2.933,2.207
"chr14",19800000,43800000,-2.888,2.406
"chr14",19800000,43900000,-2.873,2.471
"chr14",19800000,4.4e+07,-2.873,2.456
"chr14",19800000,44100000,-2.9,2.362
"chr14",19800000,44200000,-2.886,2.422
"chr14",19800000,44300000,-2.896,2.337
"chr14",19800000,44400000,-2.925,2.114
"chr14",19800000,45400000,-2.971,2.234
"chr14",19800000,45500000,-2.879,2.623
"chr14",19800000,45600000,-2.83,2.886
"chr14",19800000,45700000,-2.845,2.972
"chr14",19800000,45800000,-2.84,3.021
"chr14",19800000,45900000,-2.8,3.251
"chr14",19800000,4.6e+07,-2.816,3.14
"chr14",19800000,46100000,-2.831,3.025
"chr14",19800000,46200000,-2.85,2.896
"chr14",19800000,46300000,-2.898,2.643
"chr14",19800000,46400000,-2.902,2.538
"chr14",19800000,46500000,-2.932,2.369
"chr14",19800000,46600000,-2.954,2.269
"chr14",19800000,46700000,-2.958,2.176
"chr14",19800000,46800000,-2.956,2.106
"chr14",19800000,46900000,-2.948,2.099
"chr14",19800000,4.7e+07,-2.927,2.201
"chr14",19800000,47100000,-2.903,2.306
"chr14",19800000,47200000,-2.903,2.329
"chr14",19800000,47300000,-2.933,2.193
"chr14",19800000,47400000,-2.933,2.163
"chr14",19800000,47500000,-2.93,2.138
"chr14",19800000,47600000,-2.958,2.078
"chr14",19800000,47700000,-2.961,2.066
"chr14",19800000,4.8e+07,-2.953,2.108
"chr14",19800000,48100000,-2.962,2.089
"chr14",19800000,48200000,-2.987,2.026
"chr14",19800000,48300000,-2.972,2.211
"chr14",19800000,48400000,-2.991,2.203
"chr14",19800000,48500000,-3.004,2.204
"chr14",19800000,48600000,-3.012,2.229
"chr14",19800000,48700000,-3.068,2.007
"chr14",19800000,65900000,-3.339,2.274
"chr14",19800000,6.6e+07,-3.317,2.495
"chr14",19800000,66100000,-3.312,2.518
"chr14",19800000,66200000,-3.328,2.287
"chr14",19800000,66300000,-3.297,2.45
"chr14",19800000,66400000,-3.347,2.025
"chr14",19800000,78200000,-3.388,2.284
"chr14",19800000,78300000,-3.365,2.596
"chr14",19800000,78400000,-3.399,2.328
"chr14",19800000,78500000,-3.429,2.079
"chr14",19800000,81800000,-3.402,2.183
"chr14",19800000,81900000,-3.42,2.088
"chr14",19800000,8.2e+07,-3.378,2.586
"chr14",19800000,82100000,-3.377,2.908
"chr14",19800000,82200000,-3.364,3.314
"chr14",19800000,82300000,-3.375,3.248
"chr14",19800000,82400000,-3.408,3.053
"chr14",19800000,82500000,-3.445,2.615
"chr14",19800000,82600000,-3.42,2.771
"chr14",19800000,87300000,-3.473,2.035
"chr14",19800000,87400000,-3.451,2.378
"chr14",19800000,87500000,-3.429,2.628
"chr14",19800000,87600000,-3.462,2.377
"chr14",19800000,87700000,-3.436,2.682
"chr14",19800000,87800000,-3.422,2.851
"chr14",19800000,87900000,-3.464,2.591
"chr14",19900000,25400000,-2.341,2.004
"chr14",19900000,25500000,-2.303,2.204
"chr14",19900000,25600000,-2.321,2.167
"chr14",19900000,25700000,-2.348,2.142
"chr14",19900000,25800000,-2.395,2.014
"chr14",19900000,2.7e+07,-2.51,2.149
"chr14",19900000,27100000,-2.505,2.167
"chr14",19900000,27200000,-2.493,2.179
"chr14",19900000,27300000,-2.484,2.191
"chr14",19900000,27400000,-2.477,2.176
"chr14",19900000,27500000,-2.465,2.23
"chr14",19900000,27600000,-2.467,2.24
"chr14",19900000,27700000,-2.478,2.19
"chr14",19900000,27800000,-2.458,2.272
"chr14",19900000,27900000,-2.443,2.319
"chr14",19900000,2.8e+07,-2.426,2.38
"chr14",19900000,28100000,-2.437,2.371
"chr14",19900000,28200000,-2.47,2.262
"chr14",19900000,28300000,-2.495,2.175
"chr14",19900000,39700000,-2.809,2.188
"chr14",19900000,39800000,-2.74,2.473
"chr14",19900000,39900000,-2.767,2.361
"chr14",19900000,4e+07,-2.759,2.388
"chr14",19900000,40100000,-2.78,2.311
"chr14",19900000,40200000,-2.791,2.277
"chr14",19900000,40300000,-2.774,2.381
"chr14",19900000,40400000,-2.793,2.365
"chr14",19900000,40500000,-2.81,2.274
"chr14",19900000,40600000,-2.781,2.324
"chr14",19900000,40700000,-2.821,2.094
"chr14",19900000,40800000,-2.814,2.096
"chr14",19900000,40900000,-2.835,2.026
"chr14",19900000,4.1e+07,-2.846,2.02
"chr14",19900000,43800000,-2.929,2.224
"chr14",19900000,43900000,-2.916,2.279
"chr14",19900000,4.4e+07,-2.925,2.239
"chr14",19900000,44100000,-2.948,2.129
"chr14",19900000,44200000,-2.933,2.216
"chr14",19900000,44300000,-2.932,2.219
"chr14",19900000,44400000,-2.956,2.072
"chr14",19900000,45400000,-2.995,2.138
"chr14",19900000,45500000,-2.908,2.523
"chr14",19900000,45600000,-2.869,2.666
"chr14",19900000,45700000,-2.886,2.628
"chr14",19900000,45800000,-2.901,2.703
"chr14",19900000,45900000,-2.872,2.867
"chr14",19900000,4.6e+07,-2.878,2.876
"chr14",19900000,46100000,-2.896,2.763
"chr14",19900000,46200000,-2.93,2.566
"chr14",19900000,46300000,-2.966,2.361
"chr14",19900000,46400000,-2.977,2.28
"chr14",19900000,46500000,-2.99,2.146
"chr14",19900000,46600000,-3.005,2.051
"chr14",19900000,47100000,-2.958,2.069
"chr14",19900000,47200000,-2.961,2.066
"chr14",19900000,47400000,-2.971,2.031
"chr14",19900000,47500000,-2.972,2.004
"chr14",19900000,48600000,-3.041,2.033
"chr14",19900000,6.6e+07,-3.351,2.173
"chr14",19900000,66100000,-3.336,2.341
"chr14",19900000,66200000,-3.345,2.238
"chr14",19900000,66300000,-3.323,2.328
"chr14",19900000,78200000,-3.416,2.033
"chr14",19900000,78300000,-3.384,2.321
"chr14",19900000,78400000,-3.402,2.265
"chr14",19900000,78500000,-3.427,2.072
"chr14",19900000,8.2e+07,-3.411,2.155
"chr14",19900000,82100000,-3.41,2.327
"chr14",19900000,82200000,-3.391,2.784
"chr14",19900000,82300000,-3.391,3.057
"chr14",19900000,82400000,-3.422,2.795
"chr14",19900000,82500000,-3.455,2.578
"chr14",19900000,82600000,-3.434,2.726
"chr14",19900000,82700000,-3.496,2.033
"chr14",19900000,87400000,-3.46,2.158
"chr14",19900000,87500000,-3.441,2.478
"chr14",19900000,87600000,-3.469,2.233
"chr14",19900000,87700000,-3.447,2.526
"chr14",19900000,87800000,-3.447,2.564
"chr14",19900000,87900000,-3.493,2.113
"chr14",2e+07,27900000,-2.538,2.024
"chr14",2e+07,2.8e+07,-2.52,2.082
"chr14",2e+07,28100000,-2.539,2.031
"chr14",2e+07,39800000,-2.817,2.154
"chr14",2e+07,39900000,-2.849,2.046
"chr14",2e+07,4e+07,-2.84,2.076
"chr14",2e+07,40100000,-2.857,2.005
"chr14",2e+07,40300000,-2.849,2.049
"chr14",2e+07,40600000,-2.868,2.041
"chr14",2e+07,45500000,-2.964,2.282
"chr14",2e+07,45600000,-2.924,2.451
"chr14",2e+07,45700000,-2.938,2.355
"chr14",2e+07,45800000,-2.962,2.284
"chr14",2e+07,45900000,-2.949,2.478
"chr14",2e+07,4.6e+07,-2.951,2.493
"chr14",2e+07,46100000,-2.976,2.406
"chr14",2e+07,46200000,-2.996,2.286
"chr14",2e+07,46300000,-3.039,2.057
"chr14",2e+07,66300000,-3.37,2.033
"chr14",2e+07,82100000,-3.42,2.083
"chr14",2e+07,82200000,-3.402,2.392
"chr14",2e+07,82300000,-3.406,2.658
"chr14",2e+07,82400000,-3.435,2.63
"chr14",2e+07,82500000,-3.467,2.353
"chr14",2e+07,82600000,-3.447,2.659
"chr14",2e+07,82700000,-3.506,2.007
"chr14",2e+07,87700000,-3.485,2.083
"chr14",2e+07,87800000,-3.469,2.307
"chr14",2e+07,87900000,-3.5,2.027
"chr14",20100000,45600000,-3.01,2.068
"chr14",20100000,82400000,-3.464,2.142
"chr14",20100000,82500000,-3.479,2.215
"chr14",20100000,82600000,-3.468,2.346
"chr14",20100000,87700000,-3.482,2.081
"chr14",20100000,87800000,-3.483,2.1
"chr14",25500000,81800000,-3.383,2.052
"chr14",25500000,81900000,-3.353,2.269
"chr14",25500000,8.2e+07,-3.357,2.097
"chr14",25500000,82100000,-3.365,2.013
"chr14",25600000,81900000,-3.37,2.155
"chr14",25600000,8.2e+07,-3.375,2.094
"chr14",25600000,97700000,-3.414,2.011
"chr14",25600000,97800000,-3.392,2.201
"chr14",25700000,81800000,-3.389,2.049
"chr14",25700000,81900000,-3.367,2.205
"chr14",25700000,8.2e+07,-3.355,2.281
"chr14",25700000,82100000,-3.355,2.259
"chr14",25800000,8.2e+07,-3.391,2.011
"chr14",26800000,82100000,-3.443,2.003
"chr14",26900000,81900000,-3.423,2.186
"chr14",26900000,8.2e+07,-3.393,2.589
"chr14",26900000,82100000,-3.374,2.715
"chr14",26900000,82200000,-3.418,2.227
"chr14",26900000,82300000,-3.422,2.122
"chr14",2.7e+07,81900000,-3.385,2.495
"chr14",2.7e+07,8.2e+07,-3.374,2.654
"chr14",2.7e+07,82100000,-3.364,2.867
"chr14",2.7e+07,82200000,-3.389,2.575
"chr14",2.7e+07,82300000,-3.393,2.455
"chr14",2.7e+07,82400000,-3.414,2.193
"chr14",27100000,81800000,-3.399,2.241
"chr14",27100000,81900000,-3.348,2.779
"chr14",27100000,8.2e+07,-3.334,2.98
"chr14",27100000,82100000,-3.34,2.982
"chr14",27100000,82200000,-3.345,3.051
"chr14",27100000,82300000,-3.349,2.945
"chr14",27100000,82400000,-3.385,2.525
"chr14",27200000,81800000,-3.341,2.682
"chr14",27200000,81900000,-3.304,3.119
"chr14",27200000,8.2e+07,-3.299,3.23
"chr14",27200000,82100000,-3.305,3.253
"chr14",27200000,82200000,-3.311,3.253
"chr14",27200000,82300000,-3.316,3.336
"chr14",27200000,82400000,-3.359,2.857
"chr14",27200000,82500000,-3.419,2.213
"chr14",27300000,40200000,-2.66,2.001
"chr14",27300000,40300000,-2.66,2.049
"chr14",27300000,40400000,-2.67,2.026
"chr14",27300000,40500000,-2.674,2.028
"chr14",27300000,40600000,-2.694,2.002
"chr14",27300000,40800000,-2.723,2.032
"chr14",27300000,40900000,-2.711,2.09
"chr14",27300000,4.1e+07,-2.716,2.075
"chr14",27300000,81700000,-3.359,2.256
"chr14",27300000,81800000,-3.299,2.941
"chr14",27300000,81900000,-3.263,3.381
"chr14",27300000,8.2e+07,-3.253,3.592
"chr14",27300000,82100000,-3.249,3.694
"chr14",27300000,82200000,-3.272,3.568
"chr14",27300000,82300000,-3.276,3.581
"chr14",27300000,82400000,-3.32,3.293
"chr14",27300000,82500000,-3.379,2.671
"chr14",27300000,82600000,-3.397,2.421
"chr14",27300000,82700000,-3.432,2.035
"chr14",27300000,106100000,-3.297,2.009
"chr14",27300000,106200000,-3.29,2.027
"chr14",27300000,106300000,-3.253,2.117
"chr14",27300000,106400000,-3.245,2.062
"chr14",27400000,40200000,-2.643,2.001
"chr14",27400000,40300000,-2.636,2.079
"chr14",27400000,40400000,-2.648,2.087
"chr14",27400000,40500000,-2.654,2.079
"chr14",27400000,40600000,-2.67,2.04
"chr14",27400000,40700000,-2.689,2.02
"chr14",27400000,40800000,-2.687,2.111
"chr14",27400000,40900000,-2.68,2.184
"chr14",27400000,4.1e+07,-2.692,2.16
"chr14",27400000,41100000,-2.712,2.089
"chr14",27400000,78300000,-3.375,2.072
"chr14",27400000,78500000,-3.367,2.124
"chr14",27400000,81700000,-3.373,2.069
"chr14",27400000,81800000,-3.296,2.779
"chr14",27400000,81900000,-3.262,3.26
"chr14",27400000,8.2e+07,-3.242,3.571
"chr14",27400000,82100000,-3.256,3.56
"chr14",27400000,82200000,-3.263,3.561
"chr14",27400000,82300000,-3.275,3.537
"chr14",27400000,82400000,-3.302,3.334
"chr14",27400000,82500000,-3.367,2.835
"chr14",27400000,82600000,-3.391,2.551
"chr14",27400000,82700000,-3.435,2.076
"chr14",27400000,106100000,-3.265,2.264
"chr14",27400000,106200000,-3.266,2.208
"chr14",27400000,106300000,-3.24,2.346
"chr14",27400000,106400000,-3.217,2.334
"chr14",27400000,106500000,-3.205,2.29
"chr14",27400000,106600000,-3.19,2.081
"chr14",27400000,106700000,-3.194,2.082
"chr14",27500000,40300000,-2.62,2.076
"chr14",27500000,40400000,-2.632,2.093
"chr14",27500000,40500000,-2.632,2.141
"chr14",27500000,40600000,-2.651,2.088
"chr14",27500000,40700000,-2.672,2.034
"chr14",27500000,40800000,-2.671,2.082
"chr14",27500000,40900000,-2.676,2.15
"chr14",27500000,4.1e+07,-2.691,2.146
"chr14",27500000,41100000,-2.69,2.166
"chr14",27500000,41200000,-2.723,2.051
"chr14",27500000,78500000,-3.372,2.078
"chr14",27500000,81600000,-3.368,2.084
"chr14",27500000,81700000,-3.335,2.352
"chr14",27500000,81800000,-3.282,2.808
"chr14",27500000,81900000,-3.255,3.119
"chr14",27500000,8.2e+07,-3.222,3.61
"chr14",27500000,82100000,-3.239,3.596
"chr14",27500000,82200000,-3.252,3.597
"chr14",27500000,82300000,-3.261,3.587
"chr14",27500000,82400000,-3.284,3.456
"chr14",27500000,82500000,-3.318,3.183
"chr14",27500000,82600000,-3.352,2.988
"chr14",27500000,82700000,-3.405,2.42
"chr14",27500000,82800000,-3.422,2.19
"chr14",27500000,105900000,-3.311,2.164
"chr14",27500000,1.06e+08,-3.292,2.301
"chr14",27500000,106100000,-3.246,2.428
"chr14",27500000,106200000,-3.249,2.369
"chr14",27500000,106300000,-3.24,2.374
"chr14",27500000,106400000,-3.22,2.476
"chr14",27500000,106500000,-3.235,2.23
"chr14",27500000,106600000,-3.23,2.146
"chr14",27600000,40200000,-2.618,2.023
"chr14",27600000,40300000,-2.607,2.076
"chr14",27600000,40400000,-2.622,2.069
"chr14",27600000,40500000,-2.624,2.12
"chr14",27600000,40600000,-2.641,2.113
"chr14",27600000,40700000,-2.657,2.068
"chr14",27600000,40800000,-2.661,2.071
"chr14",27600000,40900000,-2.673,2.075
"chr14",27600000,4.1e+07,-2.68,2.137
"chr14",27600000,41100000,-2.677,2.198
"chr14",27600000,41200000,-2.709,2.1
"chr14",27600000,78300000,-3.388,2.049
"chr14",27600000,81600000,-3.345,2.406
"chr14",27600000,81700000,-3.329,2.397
"chr14",27600000,81800000,-3.292,2.69
"chr14",27600000,81900000,-3.273,2.882
"chr14",27600000,8.2e+07,-3.249,3.173
"chr14",27600000,82100000,-3.258,3.298
"chr14",27600000,82200000,-3.262,3.389
"chr14",27600000,82300000,-3.266,3.473
"chr14",27600000,82400000,-3.291,3.305
"chr14",27600000,82500000,-3.325,3.063
"chr14",27600000,82600000,-3.35,2.879
"chr14",27600000,82700000,-3.415,2.379
"chr14",27600000,82800000,-3.437,2.122
"chr14",27600000,97500000,-3.476,2.083
"chr14",27600000,97600000,-3.491,2.069
"chr14",27600000,1.06e+08,-3.283,2.365
"chr14",27600000,106100000,-3.247,2.615
"chr14",27600000,106200000,-3.229,2.539
"chr14",27600000,106300000,-3.215,2.585
"chr14",27600000,106400000,-3.182,2.745
"chr14",27600000,106500000,-3.191,2.659
"chr14",27600000,106600000,-3.173,2.6
"chr14",27600000,106700000,-3.197,2.334
"chr14",27600000,106900000,-3.203,2.038
"chr14",27700000,40100000,-2.614,2.007
"chr14",27700000,40200000,-2.609,2.022
"chr14",27700000,40300000,-2.604,2.066
"chr14",27700000,40400000,-2.613,2.054
"chr14",27700000,40500000,-2.618,2.08
"chr14",27700000,40600000,-2.641,2.063
"chr14",27700000,40700000,-2.657,2.058
"chr14",27700000,40800000,-2.654,2.079
"chr14",27700000,40900000,-2.673,2.029
"chr14",27700000,4.1e+07,-2.682,2.044
"chr14",27700000,41100000,-2.684,2.121
"chr14",27700000,41200000,-2.714,2.064
"chr14",27700000,78500000,-3.377,2.088
"chr14",27700000,81600000,-3.342,2.344
"chr14",27700000,81700000,-3.344,2.415
"chr14",27700000,81800000,-3.286,2.736
"chr14",27700000,81900000,-3.255,2.983
"chr14",27700000,8.2e+07,-3.216,3.341
"chr14",27700000,82100000,-3.225,3.365
"chr14",27700000,82200000,-3.236,3.49
"chr14",27700000,82300000,-3.243,3.558
"chr14",27700000,82400000,-3.257,3.555
"chr14",27700000,82500000,-3.301,3.21
"chr14",27700000,82600000,-3.339,2.937
"chr14",27700000,82700000,-3.416,2.253
"chr14",27700000,97500000,-3.455,2.092
"chr14",27700000,97600000,-3.479,2.055
